OBJECTID,SPECIES,TAXONNAME,OLDTAXONNAME,COMMONNAME,FAMILY,ORDER,CLASS,PHYLUM,COMMONFAMILY,COMMONFAMILYALL,LW_A,LW_B,LENTYP,SLTLRAT,FLTLRAT,TROPHIC,TROPHIC_SIMPLE,TROPHIC_MONREP,SPPLEVELID,TARGETED,TOWSPECIES,SHAPE,NUM,R_VALUE,LMAX,L_PACIFIC_AVG,COUNTMAX,PERC_ERROR,SOURCE,ARCTAXONNAME,ALLEN_BOOK_PAGE_FRAME,JOHNSTON,WAKE,MARIANAS,SAMOA,HAWAII,HOW_BAK,PAL_KIN,JARVIS,COMMENT_RANGE,TROPHICLEVEL,LENGTH_CONVERSION_FACTOR,CREATE_DTM,CREATED_BY,LAST_MOD_DTM,LAST_MOD_BY,FISHBASE_,GENERA_SAMOA_BOOKLET,KINGDOM,GENUS,TAXONOMIC_NOTES,APHIAID,AUTHORITY,RANK,CITATION,FULL_CLASSIFICATION,URL,HYBRID,VARIANT,SCIENTIFIC_NAME,TIMOR
5749,ACLE,Acanthurus leucopareius,,Whitebar surgeonfish,Acanthuridae,Perciformes,Actinopterygii,Chordata,Surgeonfish,Surgeonfish,0.0028,3,TL,1,,H,Herb,PRIMARY,-1,-1,0,,,,25,15,70,,FB,Acanthurus_leucopareius,046-1,0,-1,-1,0,-1,0,-1,0,,2,1,,,4/30/2014 2:43 PM,TKANEMURA,Acanthurus leucopareius #http://www.fishbase.org/Country/CountrySpeciesSummary.cfm?c_code=840B&id=4737#,Acanthurus,Animalia,Acanthurus,,219624,"(Jenkins, 1903)",Species,"Bailly, N. (2010). Acanthurus leucopareius (Jenkins, 1903). In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=219624 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Acanthuridae (Family) > Acanthurus (Genus) > Acanthurus leucopareius (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=219624,,,Acanthurus leucopareius,0
5751,ACLU,Acanthurus leucocheilus,,Palelipped surgeonfish,Acanthuridae,Perciformes,Actinopterygii,Chordata,Surgeonfish,Surgeonfish,0.0261,3.024,FL,0.85,0.9,H,Herb,PRIMARY,-1,-1,0,,,,45,26,20,,FB value for ACNI,Acanthurus_leucocheilus,049-4,0,0,0,-1,0,-1,-1,-1,"Implied for Baker and Samoa (seen by many different observers) not clear for Howland, Marianas",,0.9,,,4/30/2014 2:43 PM,TKANEMURA,Acanthurus leucocheilus#http://www.fishbase.org/Summary/speciesSummary.php?ID=4741&genusname=Acanthurus&speciesname=leucocheilus#,Acanthurus,Animalia,Acanthurus,,219629,"Herre, 1927",Species,"Bailly, N. (2010). Acanthurus leucocheilus Herre, 1927. In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=219629 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Acanthuridae (Family) > Acanthurus (Genus) > Acanthurus leucocheilus (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=219629,,,Acanthurus leucocheilus,-1
5756,ACNI,Acanthurus nigricauda,,Epaulette surgeonfish,Acanthuridae,Perciformes,Actinopterygii,Chordata,Surgeonfish,Surgeonfish,0.01678,3.16772,FL,0.82,0.84,H,Herb,PRIMARY,-1,-1,0,compressed,51,0,40,23,20,8,Kulbicki 2005,Acanthurus_nigricauda,048-6,-1,-1,-1,-1,0,-1,-1,-1,,2.7,0.84,,,4/30/2014 2:43 PM,TKANEMURA,Acanthurus nigricauda #http://www.fishbase.org/Summary/SpeciesSummary.cfm?id=4747#,Acanthurus,Animalia,Acanthurus,,219626,"Duncker & Mohr, 1929",Species,"Bailly, N. (2010). Acanthurus nigricauda Duncker & Mohr, 1929. In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=219626 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Acanthuridae (Family) > Acanthurus (Genus) > Acanthurus nigricauda (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=219626,,,Acanthurus nigricauda,-1
5758,ACNU,Acanthurus nubilus,,Bluelinedsurgeon,Acanthuridae,Perciformes,Actinopterygii,Chordata,Surgeonfish,Surgeonfish,0.021,2.9435,TL,1,,Pk,LowCarn,PLANKTIVORE,-1,-1,0,,,,26,28,20,,FB mean for genus,Acanthurus_nubilus,,0,-1,-1,0,0,-1,0,0,,,1,,,4/30/2014 2:43 PM,TKANEMURA,Acanthurus nubilus #http://www.fishbase.org/Country/CountrySpeciesSummary.cfm?c_code=258&id=4733#,Acanthurus,Animalia,Acanthurus,,272964,"(Fowler & Bean, 1929)",Species,"Bailly, N. (2010). Acanthurus nubilus. In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=272964 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Acanthuridae (Family) > Acanthurus (Genus) > Acanthurus nubilus (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=272964,,,Acanthurus nubilus,-1
6162,HEST,Helcogramma striata,Helcogramma striatum,Tropical striped triplefin,Tripterygiidae,Perciformes,Actinopterygii,Chordata,Rare_Families,Blenny,0.0022,3.901,FL,,1,MI,LowCarn,SECONDARY,-1,0,0,,,,5,2,5,,Kulbicki Bleniidae,Helcogramma_striata,359-2,0,0,0,0,0,0,-1,0,,3.4,1,,,12/23/2019 2:47 PM,GISDAT,Helcogramma striatum #http://www.fishbase.org/Summary/SpeciesSummary.cfm?id=8514#,Helcogramma,Animalia,Helcogramma,,279251,"Hansen, 1986",Species,"Bailly, N. (2010). Helcogramma striatum Hansen, 1986. In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=279251 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Tripterygiidae (Family) > Helcogramma (Genus) > Helcogramma striatum (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=279251,,,Helcogramma striatum,-1
5759,ACOL,Acanthurus olivaceus,,Orangespot surgeonfish,Acanthuridae,Perciformes,Actinopterygii,Chordata,Surgeonfish,Surgeonfish,0.03839,3.055,FL,0.75,0.86,H,Herb,PRIMARY,-1,-1,0,,,,40,21,20,,FB,Acanthurus_olivaceus,045-1,-1,-1,-1,-1,-1,-1,-1,-1,,2.2,0.86,,,4/30/2014 2:43 PM,TKANEMURA,Acanthurus olivaceus #http://www.fishbase.org/Country/CountrySpeciesSummary.cfm?c_code=840B&id=4744#,Acanthurus,Animalia,Acanthurus,,219625,"Bloch & Schneider, 1801",Species,"Bailly, N. (2010). Acanthurus olivaceus. In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=219625 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Acanthuridae (Family) > Acanthurus (Genus) > Acanthurus olivaceus (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=219625,,,Acanthurus olivaceus,-1
5760,ACPY,Acanthurus pyroferus,,Chocolate surgeonfish,Acanthuridae,Perciformes,Actinopterygii,Chordata,Surgeonfish,Surgeonfish,0.018,3,TL,1,,H,Herb,PRIMARY,-1,-1,0,,,,25,18,20,,FB,Acanthurus_pyroferus,046-2,0,0,-1,-1,0,-1,-1,0,,2,1,,,4/30/2014 2:43 PM,TKANEMURA,Acanthurus pyroferus #http://www.fishbase.org/Summary/SpeciesSummary.cfm?id=4742#,Acanthurus,Animalia,Acanthurus,,219648,"Kittlitz, 1834",Species,"Bailly, N. (2010). Acanthurus pyroferus. In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=219648 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Acanthuridae (Family) > Acanthurus (Genus) > Acanthurus pyroferus (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=219648,,,Acanthurus pyroferus,-1
5762,ACSP,Acanthurus sp,,Acanthurus species,Acanthuridae,Perciformes,Actinopterygii,Chordata,Surgeonfish,Surgeonfish,0.02803,2.98288,FL,,0.9,H,Herb,PRIMARY,0,-1,-1,compressed,639,0,57,8,20,10,Kulbicki 2005,Acanthurus_sp,,-1,-1,-1,-1,-1,-1,-1,-1,,,0.9,,,4/30/2014 2:43 PM,TKANEMURA,Acanthurus sp#http://Acanthurus sp#,Acanthurus,Animalia,Acanthurus,,,,Genus,,,,,,,-1
5767,AERO,Aethaloperca rogaa,,Redmouth grouper,Serranidae,Perciformes,Actinopterygii,Chordata,Grouper,Grouper,0.0134,3.031,FL,,1,Pisc,Pisc,PISCIVORE,-1,-1,-1,,,,60,27,4,,Kulbicki Serranid mean,Aethaloperca_rogaa,163-4,0,0,-1,0,0,-1,0,0,,4.2,1,,,4/30/2014 2:43 PM,TKANEMURA,Aethaloperca rogaa #http://www.fishbase.org/Summary/SpeciesSummary.cfm?id=6441#,Aethaloperca,Animalia,Aethaloperca,,218168,"(Forsskål, 1775)",Species,"Bailly, N. (2010). Aethaloperca rogaa (Forsskål, 1775). In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=218168 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Perciformes (Order) > Serranidae (Family) > Aethaloperca (Genus) > Aethaloperca rogaa (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=218168,,,Aethaloperca rogaa,-1
5769,ALGL,Albula glossodonta,,Roundjaw bonefish,Albulidae,Albuliformes,Actinopterygii,Chordata,Rare_Families,Bonefish,0.0227,2.8989,?,1,,MI,LowCarn,SECONDARY,-1,-1,-1,,,,90,,5,,FB,Albula_glossodonta,,-1,-1,-1,0,-1,0,-1,0,,3.6,1,,,4/30/2014 2:43 PM,TKANEMURA,Albula glossodonta #http://www.fishbase.org/Country/CountrySpeciesSummary.cfm?c_code=840B&id=11512#,Albula,Animalia,Albula,,212255,"(Forsskål, 1775)",Species,"Bailly, N. (2010). Albula glossodonta (Forsskål, 1775). In: Nicolas Bailly (2010). FishBase. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=212255 on 2011-07-26",Biota (Superdomain) > Animalia (Kingdom) > Chordata (Phylum) > Vertebrata (Subphylum) > Gnathostomata (Superclass) > Pisces (Superclass) > Actinopterygii (Class) > Albuliformes (Order) > Albulidae (Family) > Albulinae (Subfamily) > Albula (Genus) > Albula glossodonta (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=212255,,,Albula glossodonta,0
